symbol
GM
TM
HMC
UNP
DE
WM
GD
NSC
FDX
CARR
ODFL
PAYX
RSG
DAL
EXPD
CHRW
JCI
TT
GWW
PWR
MS
SCHW
SPGI
V
AXP
CB
PGR
MMC
AON
CME
ICE
COF
USB
PNC
TFC
DFS
HIG
TRV
AFL
AJG
MCO
NDAQ
FITB
ASX
STM
GFS
NET
GEN
SAP
UBER
NOW
TEAM
ZM
DT
TYL
PTC
HUBS
TTD
ANSS
OTEX
TER
ENT
ACN
INFY
FIS
WIT
CTSH
GIB
HPE
NOK
ERIC
CIEN
UI
HPQ
TEL
GLW
JBL
